C:\Users\Win10_Game_OS\Desktop\Bot>python run_v30_test.py

Loading data (auto mode)...

[OK] Loaded 20000 5m candles from local file.
[OK] Loaded 7000 15m candles from local file.
[OK] Loaded 2000 1h candles from local file.
[OK] Loaded 1000 4h candles from local file.

Loaded: 5m=20000, 15m=7000, 1h=2000, 4h=1000


Running V31 Institutional Backtest...

Total 5m candles: 20000
Starting Institutional loop...

OPEN SHORT | Price: 122.13 | SL: 122.47 | Risk: 0.88%
OPEN LONG | Price: 124.57 | SL: 124.38 | Risk: 0.68%
CLOSE | PnL: -68.18 | Equity: 9958.16 | DD: 4.66%
OPEN LONG | Price: 123.97 | SL: 123.78 | Risk: 0.68%
CLOSE | PnL: -67.72 | Equity: 9890.44 | DD: 5.31%
OPEN LONG | Price: 124.3 | SL: 123.4 | Risk: 0.68%
CLOSE | PnL: 48.57 | Equity: 9939.01 | DD: 5.31%
OPEN LONG | Price: 125.99 | SL: 125.88 | Risk: 0.68%
CLOSE | PnL: 342.88 | Equity: 10281.89 | DD: 5.31%
Progress: 22.5% | Trades: 43 | Equity: 10281.89
OPEN SHORT | Price: 124.51 | SL: 125.2 | Risk: 0.75%
CLOSE | PnL: -76.91 | Equity: 10204.98 | DD: 5.31%
OPEN SHORT | Price: 125.24 | SL: 125.6 | Risk: 0.75%
CLOSE | PnL: -76.33 | Equity: 10128.65 | DD: 5.31%
OPEN LONG | Price: 126.14 | SL: 126.02 | Risk: 0.68%
CLOSE | PnL: -48.18 | Equity: 10080.47 | DD: 5.31%
OPEN LONG | Price: 125.98 | SL: 125.88 | Risk: 0.68%
CLOSE | PnL: 448.21 | Equity: 10528.68 | DD: 5.31%
OPEN LONG | Price: 126.81 | SL: 126.7 | Risk: 0.75%
CLOSE | PnL: 193.63 | Equity: 10722.31 | DD: 5.31%
OPEN LONG | Price: 127.06 | SL: 126.87 | Risk: 0.75%
CLOSE | PnL: 611.28 | Equity: 11333.59 | DD: 5.31%
OPEN LONG | Price: 131.19 | SL: 130.76 | Risk: 0.75%
CLOSE | PnL: 283.19 | Equity: 11616.79 | DD: 5.31%
OPEN LONG | Price: 132.68 | SL: 131.56 | Risk: 0.97%
CLOSE | PnL: -26.1 | Equity: 11590.68 | DD: 5.31%
OPEN LONG | Price: 132.61 | SL: 132.29 | Risk: 0.75%
CLOSE | PnL: -86.7 | Equity: 11503.99 | DD: 5.31%
OPEN LONG | Price: 133.02 | SL: 132.02 | Risk: 0.75%
CLOSE | PnL: -61.1 | Equity: 11442.89 | DD: 5.31%
OPEN LONG | Price: 130.2 | SL: 129.51 | Risk: 0.75%
CLOSE | PnL: 125.29 | Equity: 11568.18 | DD: 5.31%
OPEN LONG | Price: 134.38 | SL: 133.15 | Risk: 0.97%
CLOSE | PnL: -71.01 | Equity: 11497.17 | DD: 5.31%
OPEN LONG | Price: 134.37 | SL: 133.6 | Risk: 0.97%
CLOSE | PnL: -1.45 | Equity: 11495.72 | DD: 5.31%
OPEN LONG | Price: 134.52 | SL: 134.21 | Risk: 0.97%
CLOSE | PnL: -111.28 | Equity: 11384.44 | DD: 5.31%
OPEN LONG | Price: 134.41 | SL: 134.0 | Risk: 0.75%
CLOSE | PnL: 126.18 | Equity: 11510.62 | DD: 5.31%
OPEN LONG | Price: 135.02 | SL: 134.23 | Risk: 0.75%
CLOSE | PnL: -94.82 | Equity: 11415.8 | DD: 5.31%
OPEN LONG | Price: 136.45 | SL: 134.55 | Risk: 0.97%
CLOSE | PnL: -63.39 | Equity: 11352.41 | DD: 5.31%
OPEN LONG | Price: 135.2 | SL: 134.94 | Risk: 0.75%
CLOSE | PnL: 4.93 | Equity: 11357.34 | DD: 5.31%
OPEN LONG | Price: 135.49 | SL: 134.72 | Risk: 0.75%
CLOSE | PnL: 7.72 | Equity: 11365.06 | DD: 5.31%
OPEN LONG | Price: 134.27 | SL: 134.1 | Risk: 0.75%
CLOSE | PnL: -71.95 | Equity: 11293.12 | DD: 5.31%
OPEN LONG | Price: 133.51 | SL: 133.15 | Risk: 0.75%
CLOSE | PnL: 53.94 | Equity: 11347.05 | DD: 5.31%
OPEN LONG | Price: 138.0 | SL: 137.18 | Risk: 0.97%
CLOSE | PnL: 170.95 | Equity: 11518.01 | DD: 5.31%
OPEN LONG | Price: 138.29 | SL: 137.84 | Risk: 1.06%
CLOSE | PnL: 107.08 | Equity: 11625.09 | DD: 5.31%
OPEN LONG | Price: 138.66 | SL: 138.21 | Risk: 1.06%
CLOSE | PnL: -122.76 | Equity: 11502.33 | DD: 5.31%
OPEN LONG | Price: 137.62 | SL: 137.22 | Risk: 0.75%
CLOSE | PnL: 212.87 | Equity: 11715.19 | DD: 5.31%
OPEN LONG | Price: 138.62 | SL: 138.11 | Risk: 1.06%
CLOSE | PnL: -123.71 | Equity: 11591.48 | DD: 5.31%
OPEN LONG | Price: 138.46 | SL: 138.02 | Risk: 0.97%
CLOSE | PnL: 208.88 | Equity: 11800.36 | DD: 5.31%
OPEN LONG | Price: 139.23 | SL: 138.24 | Risk: 0.97%
CLOSE | PnL: -114.23 | Equity: 11686.14 | DD: 5.31%
OPEN LONG | Price: 139.57 | SL: 137.52 | Risk: 0.97%
CLOSE | PnL: -24.28 | Equity: 11661.86 | DD: 5.31%
OPEN LONG | Price: 141.7 | SL: 140.85 | Risk: 0.97%
CLOSE | PnL: 91.35 | Equity: 11753.21 | DD: 5.31%
OPEN LONG | Price: 137.33 | SL: 136.08 | Risk: 0.75%
Progress: 30.0% | Trades: 73 | Equity: 11753.21
CLOSE | PnL: 112.53 | Equity: 11865.74 | DD: 5.31%
OPEN LONG | Price: 141.27 | SL: 138.41 | Risk: 0.75%
CLOSE | PnL: -31.03 | Equity: 11834.7 | DD: 5.31%
OPEN LONG | Price: 139.6 | SL: 139.13 | Risk: 0.75%
CLOSE | PnL: -88.52 | Equity: 11746.18 | DD: 5.31%
OPEN LONG | Price: 137.17 | SL: 136.92 | Risk: 0.75%
CLOSE | PnL: -87.86 | Equity: 11658.32 | DD: 5.31%
OPEN LONG | Price: 136.86 | SL: 136.46 | Risk: 0.97%
CLOSE | PnL: 274.32 | Equity: 11932.64 | DD: 5.31%
OPEN LONG | Price: 135.59 | SL: 134.62 | Risk: 0.75%
CLOSE | PnL: 17.48 | Equity: 11950.13 | DD: 5.31%
OPEN LONG | Price: 135.32 | SL: 134.65 | Risk: 0.68%
CLOSE | PnL: -81.26 | Equity: 11868.86 | DD: 5.31%
OPEN LONG | Price: 134.7 | SL: 134.35 | Risk: 0.68%
CLOSE | PnL: -80.71 | Equity: 11788.16 | DD: 5.31%
OPEN LONG | Price: 136.96 | SL: 136.55 | Risk: 0.68%
CLOSE | PnL: 521.35 | Equity: 12309.51 | DD: 5.31%
OPEN LONG | Price: 138.92 | SL: 137.85 | Risk: 0.68%
CLOSE | PnL: 129.51 | Equity: 12439.02 | DD: 5.31%
OPEN LONG | Price: 140.16 | SL: 136.07 | Risk: 0.75%
CLOSE | PnL: -56.87 | Equity: 12382.14 | DD: 5.31%
OPEN LONG | Price: 138.39 | SL: 137.25 | Risk: 0.68%
CLOSE | PnL: -84.2 | Equity: 12297.95 | DD: 5.31%
OPEN LONG | Price: 136.3 | SL: 135.71 | Risk: 0.68%
CLOSE | PnL: -83.63 | Equity: 12214.32 | DD: 5.31%
OPEN LONG | Price: 136.46 | SL: 136.18 | Risk: 0.8%
CLOSE | PnL: -97.71 | Equity: 12116.61 | DD: 5.31%
OPEN LONG | Price: 135.97 | SL: 135.79 | Risk: 0.68%
CLOSE | PnL: 294.07 | Equity: 12410.68 | DD: 5.31%
OPEN LONG | Price: 136.38 | SL: 136.27 | Risk: 0.68%
CLOSE | PnL: 76.44 | Equity: 12487.12 | DD: 5.31%
OPEN LONG | Price: 138.87 | SL: 137.44 | Risk: 0.75%
Progress: 37.5% | Trades: 89 | Equity: 12487.12
CLOSE | PnL: 87.91 | Equity: 12575.03 | DD: 5.31%
OPEN LONG | Price: 142.48 | SL: 141.69 | Risk: 0.97%
CLOSE | PnL: 156.84 | Equity: 12731.86 | DD: 5.31%
OPEN LONG | Price: 143.21 | SL: 141.97 | Risk: 0.97%
CLOSE | PnL: -116.29 | Equity: 12615.57 | DD: 5.31%
OPEN LONG | Price: 141.61 | SL: 141.09 | Risk: 0.75%
CLOSE | PnL: 110.28 | Equity: 12725.85 | DD: 5.31%
OPEN LONG | Price: 143.82 | SL: 142.97 | Risk: 0.97%
CLOSE | PnL: -55.07 | Equity: 12670.78 | DD: 5.31%
OPEN LONG | Price: 147.08 | SL: 143.31 | Risk: 0.97%
CLOSE | PnL: -72.55 | Equity: 12598.23 | DD: 5.31%
OPEN LONG | Price: 145.53 | SL: 145.11 | Risk: 0.97%
CLOSE | PnL: 81.35 | Equity: 12679.58 | DD: 5.31%
OPEN LONG | Price: 145.79 | SL: 145.51 | Risk: 0.97%
CLOSE | PnL: -121.76 | Equity: 12557.82 | DD: 5.31%
OPEN LONG | Price: 145.39 | SL: 144.8 | Risk: 0.97%
CLOSE | PnL: -121.56 | Equity: 12436.26 | DD: 5.31%
OPEN LONG | Price: 146.9 | SL: 145.44 | Risk: 0.88%
CLOSE | PnL: -25.49 | Equity: 12410.77 | DD: 5.31%
OPEN LONG | Price: 145.89 | SL: 145.57 | Risk: 0.68%
CLOSE | PnL: 169.3 | Equity: 12580.07 | DD: 5.31%
OPEN LONG | Price: 146.78 | SL: 146.04 | Risk: 0.68%
CLOSE | PnL: 43.91 | Equity: 12623.98 | DD: 5.31%
OPEN LONG | Price: 141.92 | SL: 140.94 | Risk: 0.75%
CLOSE | PnL: 19.27 | Equity: 12643.25 | DD: 5.31%
OPEN LONG | Price: 141.93 | SL: 141.6 | Risk: 0.75%
CLOSE | PnL: 52.2 | Equity: 12695.45 | DD: 5.31%
Progress: 45.0% | Trades: 103 | Equity: 12695.45
OPEN LONG | Price: 142.76 | SL: 142.29 | Risk: 0.75%
CLOSE | PnL: 12.12 | Equity: 12707.57 | DD: 5.31%
OPEN LONG | Price: 142.26 | SL: 142.11 | Risk: 0.75%
CLOSE | PnL: 26.42 | Equity: 12733.99 | DD: 5.31%
OPEN LONG | Price: 142.22 | SL: 142.0 | Risk: 0.75%
CLOSE | PnL: -95.25 | Equity: 12638.73 | DD: 5.31%
OPEN LONG | Price: 142.37 | SL: 141.9 | Risk: 0.75%
CLOSE | PnL: -16.09 | Equity: 12622.64 | DD: 5.31%
OPEN LONG | Price: 142.55 | SL: 141.97 | Risk: 0.75%
CLOSE | PnL: -94.42 | Equity: 12528.23 | DD: 5.31%
OPEN LONG | Price: 141.93 | SL: 141.71 | Risk: 0.68%
CLOSE | PnL: 77.45 | Equity: 12605.67 | DD: 5.31%
OPEN LONG | Price: 142.35 | SL: 141.83 | Risk: 0.75%
CLOSE | PnL: 79.78 | Equity: 12685.46 | DD: 5.31%
OPEN SHORT | Price: 133.4 | SL: 133.8 | Risk: 0.97%
CLOSE | PnL: 175.75 | Equity: 12861.21 | DD: 5.31%
OPEN SHORT | Price: 133.4 | SL: 133.52 | Risk: 0.75%
CLOSE | PnL: -57.85 | Equity: 12803.36 | DD: 5.31%
OPEN SHORT | Price: 133.61 | SL: 133.98 | Risk: 0.68%
CLOSE | PnL: -25.88 | Equity: 12777.48 | DD: 5.31%
OPEN SHORT | Price: 133.58 | SL: 133.77 | Risk: 0.68%
CLOSE | PnL: -86.89 | Equity: 12690.59 | DD: 5.31%
OPEN SHORT | Price: 133.63 | SL: 134.02 | Risk: 0.68%
CLOSE | PnL: -4.43 | Equity: 12686.17 | DD: 5.31%
OPEN SHORT | Price: 133.96 | SL: 134.09 | Risk: 0.68%
CLOSE | PnL: -61.56 | Equity: 12624.61 | DD: 5.31%
OPEN SHORT | Price: 133.9 | SL: 134.4 | Risk: 0.68%
CLOSE | PnL: -85.85 | Equity: 12538.76 | DD: 5.31%
OPEN SHORT | Price: 134.79 | SL: 135.12 | Risk: 0.68%
CLOSE | PnL: 420.37 | Equity: 12959.13 | DD: 5.31%
OPEN SHORT | Price: 133.37 | SL: 133.85 | Risk: 0.68%
CLOSE | PnL: -88.12 | Equity: 12871.01 | DD: 5.31%
OPEN SHORT | Price: 133.94 | SL: 134.22 | Risk: 0.68%
CLOSE | PnL: 81.23 | Equity: 12952.23 | DD: 5.31%
OPEN SHORT | Price: 134.38 | SL: 134.62 | Risk: 0.68%
CLOSE | PnL: 571.77 | Equity: 13524.0 | DD: 5.31%
OPEN SHORT | Price: 130.03 | SL: 131.41 | Risk: 0.97%
CLOSE | PnL: 93.47 | Equity: 13617.48 | DD: 5.31%
OPEN SHORT | Price: 128.69 | SL: 130.41 | Risk: 0.97%
CLOSE | PnL: -40.62 | Equity: 13576.86 | DD: 5.31%
OPEN SHORT | Price: 128.37 | SL: 129.07 | Risk: 0.97%
CLOSE | PnL: -131.42 | Equity: 13445.43 | DD: 5.31%
OPEN SHORT | Price: 127.34 | SL: 128.52 | Risk: 0.96%
CLOSE | PnL: -55.79 | Equity: 13389.65 | DD: 5.31%
OPEN SHORT | Price: 127.01 | SL: 128.02 | Risk: 0.75%
CLOSE | PnL: 189.15 | Equity: 13578.8 | DD: 5.31%
OPEN SHORT | Price: 126.27 | SL: 127.44 | Risk: 0.97%
CLOSE | PnL: -122.46 | Equity: 13456.34 | DD: 5.31%
OPEN SHORT | Price: 130.55 | SL: 131.0 | Risk: 0.75%
CLOSE | PnL: -100.65 | Equity: 13355.69 | DD: 5.31%
OPEN SHORT | Price: 130.1 | SL: 130.52 | Risk: 0.75%
CLOSE | PnL: 60.93 | Equity: 13416.62 | DD: 5.31%
OPEN SHORT | Price: 130.08 | SL: 130.37 | Risk: 0.75%
CLOSE | PnL: 50.13 | Equity: 13466.75 | DD: 5.31%
Progress: 52.5% | Trades: 130 | Equity: 13466.75
OPEN SHORT | Price: 129.3 | SL: 130.91 | Risk: 0.75%
CLOSE | PnL: 118.0 | Equity: 13584.75 | DD: 5.31%
OPEN SHORT | Price: 127.78 | SL: 128.3 | Risk: 0.97%
CLOSE | PnL: 58.34 | Equity: 13643.09 | DD: 5.31%
OPEN SHORT | Price: 129.24 | SL: 129.57 | Risk: 0.97%
CLOSE | PnL: -132.07 | Equity: 13511.03 | DD: 5.31%
OPEN SHORT | Price: 129.31 | SL: 129.7 | Risk: 0.88%
CLOSE | PnL: 215.93 | Equity: 13726.96 | DD: 5.31%
OPEN SHORT | Price: 128.34 | SL: 128.43 | Risk: 0.75%
CLOSE | PnL: -48.13 | Equity: 13678.83 | DD: 5.31%
OPEN SHORT | Price: 127.57 | SL: 128.11 | Risk: 0.68%
CLOSE | PnL: -93.02 | Equity: 13585.81 | DD: 5.31%
OPEN SHORT | Price: 129.42 | SL: 130.08 | Risk: 0.68%
CLOSE | PnL: 95.31 | Equity: 13681.12 | DD: 5.31%
OPEN SHORT | Price: 126.46 | SL: 127.09 | Risk: 0.75%
CLOSE | PnL: -58.48 | Equity: 13622.64 | DD: 5.31%
OPEN SHORT | Price: 126.49 | SL: 126.77 | Risk: 0.75%
CLOSE | PnL: 55.32 | Equity: 13677.96 | DD: 5.31%
OPEN SHORT | Price: 126.71 | SL: 126.85 | Risk: 0.75%
CLOSE | PnL: -75.56 | Equity: 13602.39 | DD: 5.31%
OPEN SHORT | Price: 127.0 | SL: 127.15 | Risk: 0.68%
CLOSE | PnL: 81.74 | Equity: 13684.14 | DD: 5.31%
OPEN SHORT | Price: 125.98 | SL: 126.98 | Risk: 0.68%
CLOSE | PnL: 372.76 | Equity: 14056.9 | DD: 5.31%
OPEN SHORT | Price: 122.2 | SL: 122.88 | Risk: 0.97%
CLOSE | PnL: 175.13 | Equity: 14232.02 | DD: 5.31%
OPEN SHORT | Price: 121.53 | SL: 122.2 | Risk: 0.97%
CLOSE | PnL: 372.65 | Equity: 14604.67 | DD: 5.31%
OPEN SHORT | Price: 119.88 | SL: 121.75 | Risk: 0.97%
CLOSE | PnL: 121.42 | Equity: 14726.09 | DD: 5.31%
OPEN SHORT | Price: 117.49 | SL: 120.82 | Risk: 0.97%
CLOSE | PnL: -55.22 | Equity: 14670.87 | DD: 5.31%
Progress: 60.0% | Trades: 146 | Equity: 14670.87
OPEN SHORT | Price: 126.95 | SL: 127.19 | Risk: 0.75%
CLOSE | PnL: -109.74 | Equity: 14561.13 | DD: 5.31%
OPEN SHORT | Price: 127.33 | SL: 127.47 | Risk: 0.75%
CLOSE | PnL: 6.56 | Equity: 14567.69 | DD: 5.31%
OPEN SHORT | Price: 126.32 | SL: 126.99 | Risk: 0.75%
CLOSE | PnL: 64.37 | Equity: 14632.06 | DD: 5.31%
OPEN SHORT | Price: 125.44 | SL: 126.62 | Risk: 0.75%
CLOSE | PnL: -15.77 | Equity: 14616.29 | DD: 5.31%
OPEN SHORT | Price: 122.45 | SL: 123.13 | Risk: 0.75%
CLOSE | PnL: 685.44 | Equity: 15301.73 | DD: 5.31%
OPEN SHORT | Price: 118.45 | SL: 121.61 | Risk: 0.97%
CLOSE | PnL: 70.31 | Equity: 15372.04 | DD: 5.31%
OPEN SHORT | Price: 116.39 | SL: 117.86 | Risk: 0.75%
CLOSE | PnL: 166.51 | Equity: 15538.55 | DD: 5.31%
OPEN SHORT | Price: 114.71 | SL: 117.85 | Risk: 0.97%
CLOSE | PnL: -30.66 | Equity: 15507.89 | DD: 5.31%
OPEN SHORT | Price: 115.6 | SL: 115.95 | Risk: 0.75%
CLOSE | PnL: -116.0 | Equity: 15391.89 | DD: 5.31%
OPEN SHORT | Price: 114.46 | SL: 117.16 | Risk: 0.75%
CLOSE | PnL: -115.13 | Equity: 15276.76 | DD: 5.31%
OPEN SHORT | Price: 111.01 | SL: 114.41 | Risk: 0.97%
CLOSE | PnL: 143.7 | Equity: 15420.45 | DD: 5.31%
OPEN SHORT | Price: 108.39 | SL: 109.79 | Risk: 0.97%
CLOSE | PnL: 495.22 | Equity: 15915.67 | DD: 5.31%
OPEN SHORT | Price: 103.78 | SL: 108.16 | Risk: 0.97%
CLOSE | PnL: 4.57 | Equity: 15920.25 | DD: 5.31%
OPEN SHORT | Price: 104.99 | SL: 105.24 | Risk: 0.75%
CLOSE | PnL: -119.08 | Equity: 15801.16 | DD: 5.31%
OPEN SHORT | Price: 105.52 | SL: 105.82 | Risk: 0.75%
CLOSE | PnL: 105.46 | Equity: 15906.62 | DD: 5.31%
OPEN SHORT | Price: 104.95 | SL: 105.41 | Risk: 0.75%
CLOSE | PnL: 141.0 | Equity: 16047.63 | DD: 5.31%
OPEN SHORT | Price: 104.32 | SL: 106.22 | Risk: 0.75%
CLOSE | PnL: 131.66 | Equity: 16179.28 | DD: 5.31%
Progress: 67.5% | Trades: 163 | Equity: 16179.28
OPEN SHORT | Price: 100.49 | SL: 102.26 | Risk: 0.97%
CLOSE | PnL: -156.62 | Equity: 16022.67 | DD: 5.31%
OPEN SHORT | Price: 101.26 | SL: 102.69 | Risk: 0.75%
CLOSE | PnL: 355.51 | Equity: 16378.17 | DD: 5.31%
OPEN SHORT | Price: 98.6 | SL: 99.3 | Risk: 0.97%
CLOSE | PnL: -158.54 | Equity: 16219.63 | DD: 5.31%
OPEN SHORT | Price: 99.45 | SL: 99.92 | Risk: 0.97%
CLOSE | PnL: 100.99 | Equity: 16320.63 | DD: 5.31%
OPEN SHORT | Price: 100.64 | SL: 101.33 | Risk: 0.75%
CLOSE | PnL: -122.08 | Equity: 16198.55 | DD: 5.31%
OPEN SHORT | Price: 104.36 | SL: 104.97 | Risk: 0.75%
CLOSE | PnL: 92.75 | Equity: 16291.3 | DD: 5.31%
OPEN SHORT | Price: 104.5 | SL: 104.68 | Risk: 0.75%
CLOSE | PnL: -121.86 | Equity: 16169.44 | DD: 5.31%
OPEN SHORT | Price: 103.04 | SL: 103.43 | Risk: 0.75%
CLOSE | PnL: 39.32 | Equity: 16208.76 | DD: 5.31%
OPEN SHORT | Price: 102.98 | SL: 103.32 | Risk: 0.97%
CLOSE | PnL: 83.31 | Equity: 16292.07 | DD: 5.31%
OPEN SHORT | Price: 100.96 | SL: 102.53 | Risk: 0.97%
CLOSE | PnL: 189.8 | Equity: 16481.87 | DD: 5.31%
OPEN SHORT | Price: 98.62 | SL: 100.43 | Risk: 0.97%
CLOSE | PnL: 119.99 | Equity: 16601.86 | DD: 5.31%
OPEN SHORT | Price: 99.03 | SL: 99.92 | Risk: 0.97%
CLOSE | PnL: -160.71 | Equity: 16441.15 | DD: 5.31%
OPEN SHORT | Price: 97.43 | SL: 98.29 | Risk: 0.97%
CLOSE | PnL: -159.15 | Equity: 16282.0 | DD: 5.31%
OPEN SHORT | Price: 99.08 | SL: 99.45 | Risk: 0.75%
CLOSE | PnL: -121.79 | Equity: 16160.21 | DD: 5.31%
OPEN SHORT | Price: 97.51 | SL: 98.38 | Risk: 1.06%
CLOSE | PnL: 126.17 | Equity: 16286.38 | DD: 5.31%
OPEN SHORT | Price: 97.6 | SL: 98.24 | Risk: 0.97%
CLOSE | PnL: -157.65 | Equity: 16128.73 | DD: 5.31%
OPEN SHORT | Price: 97.13 | SL: 98.15 | Risk: 0.97%
CLOSE | PnL: 248.32 | Equity: 16377.05 | DD: 5.31%
OPEN SHORT | Price: 96.2 | SL: 97.04 | Risk: 0.97%
CLOSE | PnL: 285.75 | Equity: 16662.8 | DD: 5.31%
OPEN SHORT | Price: 94.29 | SL: 96.28 | Risk: 0.97%
CLOSE | PnL: 131.35 | Equity: 16794.15 | DD: 5.31%
OPEN SHORT | Price: 90.87 | SL: 93.04 | Risk: 0.97%
CLOSE | PnL: -200.03 | Equity: 16594.13 | DD: 5.31%
